geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	10	3	2	Sz	chi4	0.33030950476289866	-0.07932800637457049	0.2401626511823006	14.94523859618915	36.56479605690646	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	Sz	chi8	0.33030950476289866	-0.05079325644857374	0.1537747346538936	23.602759694757747	36.56479605690646	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	Sz	chi32	0.33030950476289866	-0.017996711977730562	0.05448439030129903	36.362836843720444	36.56479605690646	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	Sz	exact	0.33030950476289866	0.0	0.0	36.56479605690646	36.56479605690646	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	Sz	UHF	0.33030950476289866	-0.11710953926058176	0.3545448664719619	7.861382039133377	36.56479605690646	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	Sz	UHFsym	0.33030950476289866	0.33030950476289866	1.0	1.0	36.56479605690646	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	chi4	0.05061277137076858	0.037196276529407823	0.7349187867410584	29.331625481612214	91.45408713939148	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	chi8	0.05061277137076858	0.016377325309680724	0.32358088415485287	55.02440647938138	91.45408713939148	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	chi32	0.05061277137076858	0.007681490133422342	0.15176979891401063	87.01383457267671	91.45408713939148	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	exact	0.05061277137076858	0.0	0.0	91.45408713939148	91.45408713939148	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	UHF	0.05061277137076858	0.0007965723256537494	0.015738563688172388	36.17646751858536	91.45408713939148	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	DoubleOcc	UHFsym	0.05061277137076858	0.0007965723256538881	0.01573856368817513	4.763534512320065	91.45408713939148	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	chi4	-0.7978226950255614	0.10647225690606721	0.13345353243261143	41.207278093959424	213.91248078620293	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	chi8	-0.7978226950255614	0.06960563974846279	0.08724449703230452	74.50963140345918	213.91248078620293	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	chi32	-0.7978226950255614	0.029746892485603915	0.0372850918770252	153.00740433277934	213.91248078620293	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	exact	-0.7978226950255614	0.0	0.0	213.91248078620293	213.91248078620293	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	UHF	-0.7978226950255614	0.002912508793978974	0.0036505715018368343	211.27018576576293	213.91248078620293	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ onsite	UHFsym	-0.7978226950255614	0.00291250879397964	0.003650571501837669	211.27018576576228	213.91248078620293	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	chi4	-0.5911513003921061	0.19741017005922945	0.3339418689061308	6.359106310568108	47.48086938018828	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	chi8	-0.5911513003921061	0.12247700991912303	0.20718386280785472	12.778593224124872	47.48086938018828	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	chi32	-0.5911513003921061	0.03613716158507241	0.06113013971398339	34.898325502091204	47.48086938018828	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	exact	-0.5911513003921061	0.0	0.0	47.48086938018828	47.48086938018828	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	UHF	-0.5911513003921061	0.2558498921872293	0.43279933921743224	4.131334435603728	47.48086938018828	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	ZZ up-up nb	UHFsym	-0.5911513003921061	-0.2780387410235041	0.4703343134643926	4.494325377098084	47.48086938018828	1.0000000000000027	1.5690815497844373
